nb-points,sum-abs
1,1.0000000000000000e+00
4,1.0000000000000000e+00
9,1.0000000000000000e+00
16,9.9999999999999978e-01
25,9.9999999999999978e-01
36,1.0000000000000000e+00
49,1.0612410338131055e+00
64,9.9999999999999989e-01
81,1.1126170322926505e+00
100,1.0296846738116134e+00
121,1.0960651055698101e+00
144,1.0425742489756917e+00
169,1.0678560356013516e+00
196,1.0672085858452891e+00
225,1.1426587007563065e+00
256,1.0608799384169587e+00
289,1.2167239806701546e+00
324,1.1016321893685339e+00
361,1.0847193552914722e+00
400,1.1454262119334984e+00
441,1.1788425265327691e+00
484,1.0951621266431875e+00
529,1.1334149919506551e+00
576,1.1190755332946793e+00
625,1.1572216394899331e+00
676,1.1334866448764853e+00
729,1.1033634888655459e+00
784,1.1340452606136127e+00
841,1.2153073357608979e+00
900,1.1107284860364515e+00
961,1.2807239764318725e+00
1024,1.1864474148583612e+00
