nb-points,sum-abs
1,1.0000000000000000e+00
4,1.0000000000000000e+00
9,1.0000000000000000e+00
16,1.0000000000000000e+00
25,1.0000000000000000e+00
36,9.9999999999999989e-01
49,1.0591740809351151e+00
64,1.0000000000000000e+00
81,1.1049136323348656e+00
100,1.0267581769455181e+00
121,1.0822719325790149e+00
144,1.0258813724479054e+00
169,1.0496748463221721e+00
196,1.0812775757021489e+00
225,1.0589634462455115e+00
256,1.1155602490122256e+00
289,1.1723583973565910e+00
324,1.1136646707317164e+00
361,1.0871414112507845e+00
400,1.1392848748389033e+00
441,1.1538007583208012e+00
484,1.1169692241383209e+00
529,1.1029809410694005e+00
576,1.1295220646123725e+00
625,1.1408782144802956e+00
676,1.1244453573294000e+00
729,1.0739970560176673e+00
784,1.1218296356333313e+00
841,1.1737897236103407e+00
900,1.1410565207253158e+00
961,1.2772756418745306e+00
1024,1.1804477354657632e+00
