nb-points,sum-abs
1,1.0000000000000000e+00
4,1.0000000000000000e+00
9,1.0000000000000000e+00
16,1.0000000000000002e+00
25,9.9999999999999989e-01
36,1.0000000000000000e+00
49,1.0631809642375571e+00
64,1.0000000000000007e+00
81,1.1196648783977539e+00
100,1.0317176254041216e+00
121,1.1212367812131943e+00
144,1.0576615422770397e+00
169,1.0605426705041161e+00
196,1.0985156147028878e+00
225,1.0601350159105813e+00
256,1.0582798147643278e+00
289,1.1946660918142196e+00
324,1.0657023759202990e+00
361,1.0779164453068584e+00
400,1.1090043094562916e+00
441,1.1790087305462658e+00
484,1.0977683837363839e+00
529,1.1462351279745433e+00
576,1.1195923461432336e+00
625,1.1804935370404583e+00
676,1.1148193674411262e+00
729,1.1313753920061207e+00
784,1.1266390364979144e+00
841,1.2483883311530828e+00
900,1.1322152615933945e+00
961,1.2769682775461180e+00
1024,1.1518181245596628e+00
